phase,task_type,metric,source,definition,population,unit,n_total,n_success,n_measured,coverage,timing_sources,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms
target,qa,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,6718.886824390834,6427.447124999162,9363.438433696138,10582.084356099585,13237.840331712143,2235.0299999961862,19345.016833001864
target,qa,request_wall_total_ms,client,Cumulative provider request wall time across all attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,6718.886824390834,6427.447124999162,9363.438433696138,10582.084356099585,13237.840331712143,2235.0299999961862,19345.016833001864
target,qa,ttft_ms,client_stream,Terminal request dispatch to first non-empty visible text delta.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,5076.846261913605,4815.803707999294,7280.005016701762,8239.391414701458,10631.027135670465,1560.6590829993365,16268.826499996067
target,qa,time_after_first_token_ms,client_stream,First visible text delta through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,1641.9688743929985,1560.6217500026105,2198.8258163939463,2469.803316550679,3666.549950810179,375.1264579987037,10038.282791996608
target,qa,server_processing_ms,provider_header,Provider-reported processing duration; not pure model compute.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,4870.093654266959,4613.5,7072.1,8025.950000000002,10415.410000000003,1384.0,16077.0
target,qa,queue_wait_ms,client,Cumulative local semaphore wait across attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,2409481.7537907073,2379040.4435624983,4425318.272929096,4673983.130389802,4884020.2825480215,0.0009170034900307655,4939567.668457996
target,qa,retry_backoff_ms,client,Cumulative actual retry sleep.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,qa,total_duration_ms,client,"Logical task residence time including local queue, provider calls, and backoff.",latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,2416200.9960896187,2385831.0748539986,4432215.261670498,4680725.22990465,4890277.141323985,3444.16408300458,4947407.739167
judge,conv,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,1765.3434852590751,1651.9689794986334,2314.682991697919,2634.96828560019,3670.184734706929,909.017625002889,11614.880250002898
judge,conv,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,1765.3434852590751,1651.9689794986334,2314.682991697919,2634.96828560019,3670.184734706929,909.017625002889,11614.880250002898
judge,conv,request_wall_total_ms,client,Cumulative provider request wall time across all attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,1765.3434852590751,1651.9689794986334,2314.682991697919,2634.96828560019,3670.184734706929,909.017625002889,11614.880250002898
judge,conv,ttft_ms,client_stream,Terminal request dispatch to first non-empty visible text delta.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,591.9177699614221,557.8668750022189,686.5334872003588,765.7611315516989,1402.5107075054277,386.3527499997872,8089.198375004344
judge,conv,time_after_first_token_ms,client_stream,First visible text delta through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,1173.3927983267245,1075.9803954970266,1696.141767301015,1996.7614671491904,2807.0497464792443,30.161250004312024,6816.103041994211
judge,conv,server_processing_ms,provider_header,Provider-reported processing duration; not pure model compute.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,356.2868708971554,333.0,423.0,484.0,758.200000000008,199.0,7717.0
judge,conv,queue_wait_ms,client,Cumulative local semaphore wait across attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,201951.1740983083,203393.99302099991,363328.89369609766,383022.1367103528,399147.2449112304,0.0004999965312890708,402610.1087499992
judge,conv,retry_backoff_ms,client,Cumulative actual retry sleep.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0
judge,conv,total_duration_ms,client,"Logical task residence time including local queue, provider calls, and backoff.",latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,203716.69348591228,204909.51947950452,364972.67636640463,384798.27006699925,400577.02701352036,1397.4176249976153,405305.9038749998
