phase,task_type,metric,source,definition,population,unit,n_total,n_success,n_measured,coverage,timing_sources,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms
target,qa,server_processing_ms,provider_header,Provider-reported processing duration; not pure model compute.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,3578.0,3578.0,3578.0,3578.0,3578.0,3578.0,3578.0
target,qa,queue_wait_ms,client,Cumulative local semaphore wait across attempts.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,0.0015420009731315076,0.0015420009731315076,0.0015420009731315076,0.0015420009731315076,0.0015420009731315076,0.0015420009731315076,0.0015420009731315076
target,qa,retry_backoff_ms,client,Cumulative actual retry sleep.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,qa,total_duration_ms,client,"Logical task residence time including local queue, provider calls, and backoff.",latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,5843.2765410034335,5843.2765410034335,5843.2765410034335,5843.2765410034335,5843.2765410034335,5843.2765410034335,5843.2765410034335
judge,conv,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,2143.3439160027774,2143.3439160027774,2143.3439160027774,2143.3439160027774,2143.3439160027774,2143.3439160027774,2143.3439160027774
judge,conv,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,2143.3439160027774,2143.3439160027774,2143.3439160027774,2143.3439160027774,2143.3439160027774,2143.3439160027774,2143.3439160027774
judge,conv,request_wall_total_ms,client,Cumulative provider request wall time across all attempts.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,2143.3439160027774,2143.3439160027774,2143.3439160027774,2143.3439160027774,2143.3439160027774,2143.3439160027774,2143.3439160027774
judge,conv,ttft_ms,client_stream,Terminal request dispatch to first non-empty visible text delta.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,599.5851670013508,599.5851670013508,599.5851670013508,599.5851670013508,599.5851670013508,599.5851670013508,599.5851670013508
judge,conv,time_after_first_token_ms,client_stream,First visible text delta through stream EOF.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,1537.2384580041398,1537.2384580041398,1537.2384580041398,1537.2384580041398,1537.2384580041398,1537.2384580041398,1537.2384580041398
judge,conv,server_processing_ms,provider_header,Provider-reported processing duration; not pure model compute.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,329.0,329.0,329.0,329.0,329.0,329.0,329.0
judge,conv,queue_wait_ms,client,Cumulative local semaphore wait across attempts.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,0.0041669991333037615,0.0041669991333037615,0.0041669991333037615,0.0041669991333037615,0.0041669991333037615,0.0041669991333037615,0.0041669991333037615
judge,conv,retry_backoff_ms,client,Cumulative actual retry sleep.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0
judge,conv,total_duration_ms,client,"Logical task residence time including local queue, provider calls, and backoff.",latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,2143.947708005726,2143.947708005726,2143.947708005726,2143.947708005726,2143.947708005726,2143.947708005726,2143.947708005726
